prompt_id,family_id,target_clauses,model_response,auditor_clause_i_score,auditor_clause_j_score,scorer_clause_i_score,scorer_clause_j_score,orientation_sign_match,notes
F_C1_C2_D1_V0,F_C1_C2_D1,C1|C2,,,,,,,
F_C1_C2_D2_V0,F_C1_C2_D2,C1|C2,,,,,,,
F_C1_C2_D3_V0,F_C1_C2_D3,C1|C2,,,,,,,
F_C1_C2_D4_V0,F_C1_C2_D4,C1|C2,,,,,,,
F_C1_C2_T1_V0,F_C1_C2_T1,C1|C2,,,,,,,
F_C1_C2_T2_V0,F_C1_C2_T2,C1|C2,,,,,,,
F_C1_C3_D1_V0,F_C1_C3_D1,C1|C3,,,,,,,
F_C1_C3_D2_V0,F_C1_C3_D2,C1|C3,,,,,,,
F_C1_C3_D3_V0,F_C1_C3_D3,C1|C3,,,,,,,
F_C1_C3_D4_V0,F_C1_C3_D4,C1|C3,,,,,,,
F_C1_C3_T1_V0,F_C1_C3_T1,C1|C3,,,,,,,
F_C1_C3_T2_V0,F_C1_C3_T2,C1|C3,,,,,,,
F_C1_C4_D1_V0,F_C1_C4_D1,C1|C4,,,,,,,
F_C1_C4_D2_V0,F_C1_C4_D2,C1|C4,,,,,,,
F_C1_C4_D3_V0,F_C1_C4_D3,C1|C4,,,,,,,
F_C1_C4_D4_V0,F_C1_C4_D4,C1|C4,,,,,,,
F_C1_C4_T1_V0,F_C1_C4_T1,C1|C4,,,,,,,
F_C1_C4_T2_V0,F_C1_C4_T2,C1|C4,,,,,,,
F_C1_C5_D1_V0,F_C1_C5_D1,C1|C5,,,,,,,
F_C1_C5_D2_V0,F_C1_C5_D2,C1|C5,,,,,,,
F_C1_C5_D3_V0,F_C1_C5_D3,C1|C5,,,,,,,
F_C1_C5_D4_V0,F_C1_C5_D4,C1|C5,,,,,,,
F_C1_C5_T1_V0,F_C1_C5_T1,C1|C5,,,,,,,
F_C1_C5_T2_V0,F_C1_C5_T2,C1|C5,,,,,,,
F_C1_C6_D1_V0,F_C1_C6_D1,C1|C6,,,,,,,
F_C1_C6_D2_V0,F_C1_C6_D2,C1|C6,,,,,,,
F_C1_C6_D3_V0,F_C1_C6_D3,C1|C6,,,,,,,
F_C1_C6_D4_V0,F_C1_C6_D4,C1|C6,,,,,,,
F_C1_C6_T1_V0,F_C1_C6_T1,C1|C6,,,,,,,
F_C1_C6_T2_V0,F_C1_C6_T2,C1|C6,,,,,,,
F_C1_C7_D1_V0,F_C1_C7_D1,C1|C7,,,,,,,
F_C1_C7_D2_V0,F_C1_C7_D2,C1|C7,,,,,,,
F_C1_C7_D3_V0,F_C1_C7_D3,C1|C7,,,,,,,
F_C1_C7_D4_V0,F_C1_C7_D4,C1|C7,,,,,,,
F_C1_C7_T1_V0,F_C1_C7_T1,C1|C7,,,,,,,
F_C1_C7_T2_V0,F_C1_C7_T2,C1|C7,,,,,,,
F_C1_C8_D1_V0,F_C1_C8_D1,C1|C8,,,,,,,
F_C1_C8_D2_V0,F_C1_C8_D2,C1|C8,,,,,,,
F_C1_C8_D3_V0,F_C1_C8_D3,C1|C8,,,,,,,
F_C1_C8_D4_V0,F_C1_C8_D4,C1|C8,,,,,,,
F_C1_C8_T1_V0,F_C1_C8_T1,C1|C8,,,,,,,
F_C1_C8_T2_V0,F_C1_C8_T2,C1|C8,,,,,,,
F_C2_C3_D1_V0,F_C2_C3_D1,C2|C3,,,,,,,
F_C2_C3_D2_V0,F_C2_C3_D2,C2|C3,,,,,,,
F_C2_C3_D3_V0,F_C2_C3_D3,C2|C3,,,,,,,
F_C2_C3_D4_V0,F_C2_C3_D4,C2|C3,,,,,,,
F_C2_C3_T1_V0,F_C2_C3_T1,C2|C3,,,,,,,
F_C2_C3_T2_V0,F_C2_C3_T2,C2|C3,,,,,,,
F_C2_C4_D1_V0,F_C2_C4_D1,C2|C4,,,,,,,
F_C2_C4_D2_V0,F_C2_C4_D2,C2|C4,,,,,,,
F_C2_C4_D3_V0,F_C2_C4_D3,C2|C4,,,,,,,
F_C2_C4_D4_V0,F_C2_C4_D4,C2|C4,,,,,,,
F_C2_C4_T1_V0,F_C2_C4_T1,C2|C4,,,,,,,
F_C2_C4_T2_V0,F_C2_C4_T2,C2|C4,,,,,,,
F_C2_C5_D1_V0,F_C2_C5_D1,C2|C5,,,,,,,
F_C2_C5_D2_V0,F_C2_C5_D2,C2|C5,,,,,,,
F_C2_C5_D3_V0,F_C2_C5_D3,C2|C5,,,,,,,
F_C2_C5_D4_V0,F_C2_C5_D4,C2|C5,,,,,,,
F_C2_C5_T1_V0,F_C2_C5_T1,C2|C5,,,,,,,
F_C2_C5_T2_V0,F_C2_C5_T2,C2|C5,,,,,,,
F_C2_C6_D1_V0,F_C2_C6_D1,C2|C6,,,,,,,
F_C2_C6_D2_V0,F_C2_C6_D2,C2|C6,,,,,,,
F_C2_C6_D3_V0,F_C2_C6_D3,C2|C6,,,,,,,
F_C2_C6_D4_V0,F_C2_C6_D4,C2|C6,,,,,,,
F_C2_C6_T1_V0,F_C2_C6_T1,C2|C6,,,,,,,
F_C2_C6_T2_V0,F_C2_C6_T2,C2|C6,,,,,,,
F_C2_C7_D1_V0,F_C2_C7_D1,C2|C7,,,,,,,
